Voltage ; Angle ; Time ; Step
Voltage Value: -4.500000 ; Angle Value: 136.939896 ; Time Value Ms: 5950.000000; Step: 95 
Voltage Value: -4.500000 ; Angle Value: 136.284149 ; Time Value Ms: 5955.000000; Step: 95 
Voltage Value: -4.200000 ; Angle Value: 132.677597 ; Time Value Ms: 5960.000000; Step: 96 
Voltage Value: -4.200000 ; Angle Value: 149.836060 ; Time Value Ms: 5965.000000; Step: 96 
Voltage Value: -3.900000 ; Angle Value: 125.464478 ; Time Value Ms: 5970.000000; Step: 97 
Voltage Value: -3.900000 ; Angle Value: 127.213112 ; Time Value Ms: 5975.000000; Step: 97 
Voltage Value: -3.600000 ; Angle Value: 143.497269 ; Time Value Ms: 5980.000000; Step: 98 
Voltage Value: -3.600000 ; Angle Value: 139.562836 ; Time Value Ms: 5985.000000; Step: 98 
Voltage Value: -3.300000 ; Angle Value: 129.617493 ; Time Value Ms: 5990.000000; Step: 99 
Voltage Value: -3.300000 ; Angle Value: 145.355194 ; Time Value Ms: 5995.000000; Step: 99 
Voltage Value: 0.000000 ; Angle Value: 128.961746 ; Time Value Ms: 6000.000000; Step: 0 
Voltage Value: 0.000000 ; Angle Value: 126.775955 ; Time Value Ms: 6005.000000; Step: 0 
Voltage Value: 0.000000 ; Angle Value: 151.256836 ; Time Value Ms: 6010.000000; Step: 1 
Voltage Value: 0.000000 ; Angle Value: 151.038254 ; Time Value Ms: 6015.000000; Step: 1 
Voltage Value: 0.000000 ; Angle Value: 151.912567 ; Time Value Ms: 6020.000000; Step: 2 
Voltage Value: 0.000000 ; Angle Value: 146.994537 ; Time Value Ms: 6025.000000; Step: 2 
Voltage Value: 0.000000 ; Angle Value: 139.562836 ; Time Value Ms: 6030.000000; Step: 3 
Voltage Value: 0.000000 ; Angle Value: 133.005463 ; Time Value Ms: 6035.000000; Step: 3 
Voltage Value: 0.000000 ; Angle Value: 133.879776 ; Time Value Ms: 6040.000000; Step: 4 
Voltage Value: 0.000000 ; Angle Value: 152.896179 ; Time Value Ms: 6045.000000; Step: 4 
Voltage Value: 0.000000 ; Angle Value: 135.519119 ; Time Value Ms: 6050.000000; Step: 5 
Voltage Value: 0.000000 ; Angle Value: 127.759560 ; Time Value Ms: 6055.000000; Step: 5 
Voltage Value: 0.000000 ; Angle Value: 135.081970 ; Time Value Ms: 6060.000000; Step: 6 
Voltage Value: 0.000000 ; Angle Value: 132.131149 ; Time Value Ms: 6065.000000; Step: 6 
Voltage Value: 0.000000 ; Angle Value: 129.180328 ; Time Value Ms: 6070.000000; Step: 7 
Voltage Value: 0.000000 ; Angle Value: 134.863388 ; Time Value Ms: 6075.000000; Step: 7 
Voltage Value: 0.000000 ; Angle Value: 150.382507 ; Time Value Ms: 6080.000000; Step: 8 
Voltage Value: 0.000000 ; Angle Value: 149.836060 ; Time Value Ms: 6085.000000; Step: 8 
Voltage Value: 0.000000 ; Angle Value: 126.775955 ; Time Value Ms: 6090.000000; Step: 9 
Voltage Value: 0.000000 ; Angle Value: 130.054642 ; Time Value Ms: 6095.000000; Step: 9 
Voltage Value: 3.000000 ; Angle Value: 151.366119 ; Time Value Ms: 6100.000000; Step: 10 
Voltage Value: 3.000000 ; Angle Value: 128.415298 ; Time Value Ms: 6105.000000; Step: 10 
Voltage Value: 3.300000 ; Angle Value: 145.573776 ; Time Value Ms: 6110.000000; Step: 11 
Voltage Value: 3.300000 ; Angle Value: 149.836060 ; Time Value Ms: 6115.000000; Step: 11 
Voltage Value: 3.600000 ; Angle Value: 145.792343 ; Time Value Ms: 6120.000000; Step: 12 
Voltage Value: 3.600000 ; Angle Value: 150.819672 ; Time Value Ms: 6125.000000; Step: 12 
Voltage Value: 3.900000 ; Angle Value: 127.213112 ; Time Value Ms: 6130.000000; Step: 13 
Voltage Value: 3.900000 ; Angle Value: 132.131149 ; Time Value Ms: 6135.000000; Step: 13 
Voltage Value: 4.200000 ; Angle Value: 147.431686 ; Time Value Ms: 6140.000000; Step: 14 
Voltage Value: 4.200000 ; Angle Value: 136.830597 ; Time Value Ms: 6145.000000; Step: 14 
Voltage Value: 4.500000 ; Angle Value: 131.038254 ; Time Value Ms: 6150.000000; Step: 15 
Voltage Value: 4.500000 ; Angle Value: 147.540985 ; Time Value Ms: 6155.000000; Step: 15 
Voltage Value: 4.800000 ; Angle Value: 125.901642 ; Time Value Ms: 6160.000000; Step: 16 
Voltage Value: 4.800000 ; Angle Value: 128.743164 ; Time Value Ms: 6165.000000; Step: 16 
Voltage Value: 5.100000 ; Angle Value: 148.524597 ; Time Value Ms: 6170.000000; Step: 17 
Voltage Value: 5.100000 ; Angle Value: 146.557373 ; Time Value Ms: 6175.000000; Step: 17 
Voltage Value: 5.400000 ; Angle Value: 127.213112 ; Time Value Ms: 6180.000000; Step: 18 
Voltage Value: 5.400000 ; Angle Value: 132.349731 ; Time Value Ms: 6185.000000; Step: 18 
Voltage Value: 5.700000 ; Angle Value: 140.655731 ; Time Value Ms: 6190.000000; Step: 19 
